"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is prohibited,https://github.com/open-telemetry/opentelemetry-collector,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Claude,It doesn't,None,"Yes, always",Good quality PRs go through the usual process. Low quality/Slop (the majority of AI PRs) are ignored and auto-closed after 2 weeks.,"License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","AI has been a big pain so far. This form is kinda AI-happy. We shouldn't be. Not only because it makes maintainer's work harder, but also because it destroys the environment, makes us dumb and promotes a world where everyone is highly dependent on 3 privately-owned companies.
All of this is at the opposite of the OSS mindset."
"OpenTelemetry, Kubernetes","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/open-telemetry/opentelemetry.io,None,,CI/CD,Managing CI/CD or Infrastructure,"Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
k0s,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",github copilot,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting",Unsure,We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, High volume of low-effort issues or PRs, Code that looks correct but isn't.  The thought process of writing code without assistance is fairly different,  when you write code manually usually you have a deeper level of understanding and think everything more carefully.",
OpenFeature,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (any tool is ok),,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","GitHub Copilot, Gemini PR Reviews, Cursor / OpenCode / Claude Code for development",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",The biggest issue is new contributors making PRs that are way too large to review. Something like an limit to the size of PR reviews for new contributors would make sense.
OpenTofu,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, most but not all",Yes,AI usage is prohibited,https://github.com/opentofu/opentofu/blob/main/contributing/DEVELOPING.md#a-note-on-copyright,None,,It doesn't,Understanding the codebase,"Yes, always","We currently block AI contributions because we are concerned that legally it could originate from a business-sourced repo (terraform) that we forked from. We currently are hitting the challenge of reviewing poor reviews, we do close any AI written PRs.","License / legal compliance, High volume of low-effort issues or PRs","We have been considering not accepting any AI contributions at all, but allowing the community to open issues and we will drive AI (if approved). Then we can get full attribution and legal idemnity from the AI tooling."
Jaeger,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://github.com/jaegertracing/jaeger/blob/main/CONTRIBUTING_GUIDELINES.md#ai-usage-policy,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Claude Code, GitHub Copilot, Antigravity","Code Reviews, Issue Triaging, PR authoring","Writing/Refactoring Code, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs","Reviewer or maintainer workload, High volume of low-effort issues or PRs"
Cilium,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (but only specific tools),AI usage is allowed (but only specific tools),"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Codex,It doesn't,Understanding the codebase,"Yes, always",The PR is automatically rejected,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",It's increasingly difficult to build project trust in a world where humans do not drive the open source work.
Argo,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/argoproj/argoproj/blob/main/community/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, Windsurf",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Jaeger,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),"Search for yourself. I'm one of the maintainers of Jaeger. ","High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",We use many different tools officially: - GitHub Copilot - OpenAI codex - Claude code - Dosu,"Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Code Reviews / Pull Requests Analysis",Unsure,We follow the usual PR review process,High volume of low-effort issues or PRs,"We have built some pretty sophisticated integration and automation because we have very few maintainers for the project. "
bootc composefs,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",opencode plus GCP Vertex hosted models from my employer,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",I think CNCF should help coalese diverse project guidelines into a few reference ones
Fluent Bit,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","codex, github","Code Reviews, Issue Triaging, CI/CD","Writing/Refactoring Code, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,no concerns,
Kubeflow,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://www.kubeflow.org/docs/about/ai_policy/,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","claude code, chatgpt, copilot","Code Reviews, CI/CD","Writing/Refactoring Code, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",The PR is automatically rejected,High volume of low-effort issues or PRs,
"Kubernetes, cert-manager","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, but most do not",Yes,AI usage is allowed (but only specific tools),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,"Code Reviews, Issue Triaging",Writing/Improving Documentation,"Yes, always",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kubeflow,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",,It doesn't,Writing/Refactoring Code,No,It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","AI tools are very helpful for improving productivity, especially for debugging and learning. However, they can also lead to an increase in low-quality or unverified contributions if not used carefully. I believe contributors should take responsibility for understanding and validating AI-generated code before submitting PRs. Proper guidelines from projects could help balance productivity and code quality."
"Kubernetes ","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,Yes,AI usage is prohibited,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","I didnt that much ai very low for just assistance .gpt,claude",It doesn't,Code Reviews / Pull Requests Analysis,No,We don’t reject it but we ask the developer to improve the PR,License / legal compliance,I think usage of ai is not prohibited we can use ai to improve our work
"KEDA, Argo","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Claude,It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kairos,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","ChatGPT, Cursor, Opencode, GH Copilot",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","Our project doesn't get high traffic, so most of the PRs are still from people who we know in the community and tend to fall in good/decent quality. Maintainer PRs we trust no matter how much use of AI. The main concern we've had is when participating in events like Hacktoberfest, there people have shown lower quality code but that was already the case pre AI. "
"k8gb, crossplane","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","claude code, codex",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Headlamp,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (any tool is ok),"If you don't block any contributions, and have AI-related files available (AGENTS.md), why would the project need a policy?","Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Github Copilot, Claude Code",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,"I think any policies we add should be on quality, not on AI usage. You can use AI and do a perfect, bug free PR, and you can use AI and do complete slop. The difference is the effort in making the PR. AI surely multiplies the noise as it lowers the barrier to file a PR, but we should have a clear policy on expectations that PRs need to be high quality (regardless of who did it) or they get closed. Most of our problems are related to low quality and volume coming from users who are trying to get an LFX mentorship anyway."
k0sproject,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Github copilot, ChatGPT, notebookLM & nanobanana (for presentations)",It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase",Unsure,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Argo,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),,None,Claud,"Code Reviews, CI/CD","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,Reviewer or maintainer workload,N/A
"Jaeger (primarily), with growing involvement in CNCF observability ecosystem","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/jaegertracing/jaeger/blob/main/CONTRIBUTING_GUIDELINES.md,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",Claude,CI/CD,"Managing CI/CD or Infrastructure, Community Management / Communication","Yes, always",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","While contributing to Jaeger, I’ve observed that AI-assisted tools can be highly effective for tasks like code exploration, refactoring, and onboarding. However, challenges remain around trust, consistency, and security of generated outputs. Establishing standardized guidelines for evaluation, human-in-the-loop validation, and secure usage will be key to enabling broader and more confident adoption across CNCF projects."
KubeStellar,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, all",Yes,AI usage is allowed (any tool is ok),,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",claude opus,"Code Reviews, Issue Triaging, CI/CD, feedback mechanisms - nightly testing - yes it is CI/CD, but deserves separate mention because it is the most important aspect of AI coding","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,It doesn’t apply to me,"Reviewer or maintainer workload, our codebase is more secure and documented than its every been",projects without AI will soon fall behind
Perses,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot, Claude Code",It doesn't,"Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","AI pull requests should be flagged and reviewed by the author first, before going to maintainers"
K3s,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",Less than 6 months,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot,It doesn't,"Writing/Improving Documentation, Debugging and Troubleshooting, Community Management / Communication, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Kubeflow,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",Less than 6 months,"Yes, most but not all",No,AI usage is allowed (any tool is ok),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot Codex,"Issue Triaging, CI/CD","Writing/Improving Documentation, Understanding the codebase","Yes, always",It doesn’t apply to me,Security vulnerabilities,
"OpenTelemetry, Prometheus","Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/open-telemetry/community/blob/main/policies/genai.md,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code, Claude Workspace, ChatGPT, Perplexity Computer",It doesn't,"Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Harbor,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,Yes,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Codex, Copilot and Claude Code",It doesn't,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase",No,We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth","Code contributions, especially feature PRs are already useless for the projects. "
Jaeger,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Openclaw copilot and claude code,CI/CD,"Writing/Refactoring Code, Understanding the codebase","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload",
